idx,question,context,true_label,baseline_sim,trained_sim,improvement
10,Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,"Cerebral hemispherectomy, a surgical procedure undergone to control intractable seizures, is becoming a standard procedure with more cases identified and treated early in life [33]. While the effect of the dominant hemisphere resection on spoken language has been extensively researched, little is known about reading abilities in individuals after left-sided resection. Left-lateralized phonological abilities are the key components of reading, i.e., grapheme-phoneme conversion skills [1]. These skills are critical for the acquisition of word-specific orthographic knowledge and have been shown to predict reading levels in average readers as well as in readers with mild cognitive disability [26]. Furthermore, impaired phonological processing has been implicated as the cognitive basis in struggling readers. Here, we explored the reading skills in participants who have undergone left cerebral hemispherectomy.",1,0.7836300730705261,0.7889804856268823,0.005350412556356154
11,Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,It is concluded that ACE-DD genotype may be a risk factor for the causation and development of chronic kidney failure among hypertensive patients.,1,0.8236841559410095,0.7562208258631865,-0.06746333007782301
12,Diabetes mellitus among Swedish art glass workers--an effect of arsenic exposure?,"After each seminary, an evaluation form concerning participants' satisfaction with the course was filled in. Furthermore, all course participants received a questionnaire at the beginning and at the end of the course, as well as 3 months afterwards. The participants were asked to assess their own sense of security in seven different communication settings on a visual analog scale, and to specify perceived changes in their communication behavior 3 months after the course.",0,0.7134807705879211,0.5701611315694816,-0.14331963901843958
13,Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,The addition of epinephrine to ACLS-SAPO increases vital organ perfusion pressures and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,1,0.7748720645904541,0.5870005511786727,-0.18787151341178143
14,Do foreign bodies migrate through the body towards the heart?,"Fixation of foreign bodies (FB), in the mucosa, can favor its migration, giving origin to the popular saying: 'FB walk to the heart'.AIM: Describe the mechanisms involved in FB migration and how to diagnose them.",1,0.7765294313430786,0.6981576302174801,-0.0783718011255985
15,Is trabecular bone related to primary stability of miniscrews?,"To compare the primary stability of miniscrews inserted into bone blocks of different bone mineral densities (BMDs) with and without cortical bone, and investigate whether some trabecular properties could influence primary stability.",1,0.8142935037612915,0.821370068816982,0.007076565055690542
16,Is there any relationship between streptococcal infection and multiple sclerosis?,"These findings indicate that a relationship between multiple sclerosis and streptococcal infections may exist, but to acquire a better understanding of the role of group A streptococci in the pathogenesis of multiple sclerosis, more studies with animal models are necessary.",1,0.805474042892456,0.8178767043920147,0.012402661499558598
17,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,"The technique of induced sputum has allowed to subdivide asthma patients into inflammatory phenotypes according to their level of granulocyte airway infiltration. There are very few studies which looked at detailed sputum and blood cell counts in a large cohort of asthmatics divided into inflammatory phenotypes. The purpose of this study was to analyze sputum cell counts, blood leukocytes and systemic inflammatory markers in these phenotypes, and investigate how those groups compared with healthy subjects.",1,0.8161740303039551,0.8087205943728146,-0.007453435931140451
18,Biliary atresia: should all patients undergo a portoenterostomy?,"Of 83 patients examined by flexible cystoscopy, 26 were found to have a tumour or a suspicious lesion. One tumour was missed by the UNP and one by the urologist; each tumour was minute. Analysis using the chance-corrected proportional agreement (Kappa) was 0.94, indicating very close agreement.",0,0.7793486714363098,0.6587809386881286,-0.12056773274818122
19,It's Fournier's gangrene still dangerous?,"The interval from the onset of clinical symptoms to the initial surgical intervention seems to be the most important prognostic factor with a significant impact on outcome. Despite extensive therapeutic efforts, Fournier's gangrene remains a surgical emergency and early recognition with prompt radical debridement is the mainstays of management.",1,0.7539395689964294,0.74363530777696,-0.01030426121946948
20,Is transurethral catheterisation the ideal method of bladder drainage?,"Our study emphasised the discomfort of transurethral urinary catheters, especially in male patients, and the high incidence of urinary tract infections in both sexes. Consideration should be given to the utilisation of alternative methods of bladder drainage, such as suprapubic catheterisation, which can be performed with ease during laparotomy.",1,0.7817310094833374,0.791864292514183,0.010133283030845597
21,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,The results of this study do not support the hypothesis that there is a direct link between atmospheric pressure values and abdominal aortic aneurysm ruptures.,1,0.7854236364364624,0.7337907385632967,-0.05163289787316572
22,Can you deliver accurate tidal volume by manual resuscitator?,"18,133 male civil servants aged 40-69 years who attended a screening examination between 1967 and 1970.",0,0.6256973743438721,0.5099787158560386,-0.11571865848783347
23,Does managed care enable more low income persons to identify a usual source of care?,"Having a usual physician can be an effective tool in improving access to care for low-income populations, although it is most effective when combined with insurance coverage. However, the effectiveness of managed care in linking more low-income persons to a medical home is uncertain, and may have unintended consequences for uninsured persons.",1,0.8151677846908569,0.7244832698937707,-0.09068451479708628
24,Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,"Women's vulnerability for a first lifetime-onset of major depressive disorder (MDD) during midlife is substantial. It is unclear whether risk factors differ for first lifetime-onset and recurrent MDD. Identifying these risk factors can provide more focused depression screening and earlier intervention. This study aims to evaluate whether lifetime psychiatric and health histories, personality traits, menopausal status and factors that vary over time, e.g. symptoms, are independent risk factors for first-onset or recurrent MDD across 13 annual follow-ups.",0,0.7980200052261353,0.40540959215624234,-0.3926104130698929
25,Oral mucocele/ranula: Another human immunodeficiency virus-related salivary gland disease?,"Annual data on children aged under 16 y treated for asthma, including consumption of regular medication for asthma, numbers of hospital periods, lengths of hospitalizations and annual proportions of readmissions, were collected using patient-specific medical records from 1995 to 1999. In the Kuopio province, on average, 35.6-36.7/1000 children were on maintenance for asthma, of which 23% were receiving cromones, 51% were taking inhaled steroids and 26% were treated with cromones plus intermittent steroids. In the Oulu province, the respective prevalence was 32.7-34.9/1000, and the respective proportions were 5%, 93% and 2%.",0,0.5969650149345398,0.5507017689811867,-0.04626324595335307
26,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,The APACHE II (Acute Physiology and Chronic Health Evaluation II) score used as an intensive care unit (ICU) admission score in emergency surgical patients is not independent of the effects of treatment and might lead to considerable bias in the comparability of defined groups of patients and in the evaluation of treatment policies. Postoperative monitoring with the APACHE II score is clinically irrelevant.,1,0.8771139979362488,0.841985348817868,-0.03512864911838076
27,Thoracic and thoracoabdominal aneurysm repair: is reimplantation of spinal cord arteries a waste of time?,Patients were selected from the general population.,0,0.6538503170013428,0.6996794583949342,0.0458291413935914
28,Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,SYNTAX score (SxS) has been demonstrated to predict long-term outcomes in stable patients with coronary artery disease. But its prognostic value for patients with acute coronary syndrome remains unknown.AIM: To evaluate whether SxS could predict in-hospital outcomes for patients admitted with ST elevation myocardial infarction (STEMI) who undergo primary percutaneous coronary intervention (pPCI).,0,0.7721835374832153,0.5213831683450165,-0.2508003691381988
29,Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,The purpose of this study was to clarify the prognostic factors for cervical spondylotic amyotrophy (CSA).,1,0.8337410688400269,0.8440857398325257,0.010344670992498806
30,Are complex coronary lesions more frequent in patients with diabetes mellitus?,"We retrospectively analysed the data of 74 patients that underwent distal pancreatectomy between 2001 and 2011 at the community hospital in Neuss. Demographic factors, indications, postoperative complications, surgical or interventional revisions, and length of hospital stay were registered to compare the outcome of patients undergoing distal pancreatectomy with coverage of the resection margins vs. patients undergoing distal pancreatectomy without coverage of the resection margins. Differences between groups were calculated using Fisher's exact and Mann-Whitney U test.",0,0.7358869314193726,0.45010508828492296,-0.2857818431344496
31,Can patient coaching reduce racial/ethnic disparities in cancer pain control?,"The first three courses were attended by 31 participants. Course evaluation revealed high satisfaction scores with methods as well as with clarity and relevance of the contents. Self-assessment of participants showed a growing sense of security in different communication settings. Important increases could be demonstrated for communicating a diagnosis of cancer with good or less good prognosis, recurrence of cancer or a far progressive cancer disease without curative approach. 3 months after the course, participants described multiple changes indicating increased sensibility and professionalism in communication behavior.",0,0.7835832834243774,0.7557031422883289,-0.02788014113604853
32,Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,"Women's vulnerability for a first lifetime-onset of major depressive disorder (MDD) during midlife is substantial. It is unclear whether risk factors differ for first lifetime-onset and recurrent MDD. Identifying these risk factors can provide more focused depression screening and earlier intervention. This study aims to evaluate whether lifetime psychiatric and health histories, personality traits, menopausal status and factors that vary over time, e.g. symptoms, are independent risk factors for first-onset or recurrent MDD across 13 annual follow-ups.",0,0.7870649099349976,0.34945492974198006,-0.4376099801930175
33,Could ADMA levels in young adults born preterm predict an early endothelial dysfunction?,"Sporadic data present in literature report how preterm birth and low birth weight are risk factors for the development of cardiovascular diseases in later life. High levels of asymmetric dimethylarginine (ADMA), a strong inhibitor of nitric oxide synthesis, are associated with the future development of adverse cardiovascular events and cardiac death.",1,0.7454395294189453,0.5202072407079865,-0.2252322887109588
34,"Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?","This paper discusses the cultural appropriateness of the RAQ in Australian settings, and identifies the need to develop rigorous, inclusive recovery outcome measures.",1,0.8352429270744324,0.801986171782471,-0.03325675529196137
35,Double reading of barium enemas: is it necessary?,"The purpose of our study was to determine the effectiveness, clinical impact, and feasibility of double reading barium enemas.",1,0.8239288330078125,0.7878132140880966,-0.03611561891971593
36,Do family physicians know the costs of medical care?,"1) to verify the presence of a statistically significant difference between ADMA levels in young adults born preterm at extremely low birth weight (<1000 g; ex-ELBW) and those of a control group of healthy adults born at term (C) and 2) to seek correlations between ADMA levels in ex-ELBW and anthropometric and clinical parameters (gender, chronological age, gestational age, birth weight, and duration of stay in Neonatal Intensive Care Unit).",0,0.6348978281021118,0.5561905755587794,-0.07870725254333244
37,Are patients with diabetes receiving the same message from dietitians and nurses?,The purpose of this study was to determine if registered dietitian (RD) and registered nurse (RN) certified diabetes educators (CDEs) provide similar recommendations regarding carbohydrates and dietary supplements to individuals with diabetes.,1,0.7389922738075256,0.7288085632264463,-0.010183710581079364
38,Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,"There were 30 (26.5%) males and 83 (73.5%) females. Most patients were below 30 years of age, with the peak frequency in the first and second decade. Ranula (simple and plunging) represented 84.1% of the mucocele locations. Mucocele on the lips represented 10.6%. Seventy-two (63.7%) patients were HIV positive; and 97.2% of them had ranulas. Thirty-eight (33.6%) patients presented with plunging ranulas; and 92.1% of them were HIV positive, compared with two patients presenting with plunging ranulas in the HIV-negative group. These results strongly suggest that an HIV-positive patient is statistically (P<0.001) more at risk of presenting with not only a simple, but also a plunging ranula type.",0,0.6776177883148193,0.6397470386951118,-0.03787074961970749
39,Is primary angioplasty an acceptable alternative to thrombolysis?,"Significantly less drainage was noted in group 2 (1010 +/- 49.9 mL vs 623 +/- 41.3 mL, P =.0001). Packed red blood cells were transfused at 2.1 +/- 0.5 units per patient in group 1 versus 0.9 +/- 0.3 units in group 2 (P =.0001). Fresh frozen plasma was transfused at 1.84 +/- 0.17 units per patient in group 1 versus 0.76 +/- 0.14 units in group 2 (P =.0001). Only 24% of patients in group 2 required donor blood or blood products compared with 74% of those in the isolated desmopressin group (group 1, P =.00001). Group 1 and group 2 findings were as follows: postoperative fibrinogen, 113 +/- 56.3 mg/dL versus 167 +/- 45.8 mg/dL (P =.0001); fibrin split product, 21.2 +/- 2.3 ng/mL versus 13.5 +/- 3.4 ng/mL (P =.0001); and postoperative hemoglobin level, 7.6 plus minus 1.2 g/dL versus 9.1 plus minus 1.2 g/dL (P =.0001).",0,0.6949558854103088,0.7387191691881726,0.04376328377786376
40,Aripiprazole: a new risk factor for pathological gambling?,"It is not known whether common carotid intima media thickness (CIMT) can serve as a surrogate marker of cardiovascular risk among black Africans. Therefore, we examined whether CIMT differed significantly among individuals with distinct cardiovascular phenotype and correlated significantly with traditional cardiovascular risk factors in a black African population.",0,0.6863878965377808,0.39039384692822204,-0.2959940496095587
41,Does exercise during pregnancy prevent postnatal depression?,"We did not find a lower prevalence of high EPDS scores among women randomized to regular exercise during pregnancy compared with the control group. However, a subgroup of women in the intervention group who did not exercise regularly prior to pregnancy had a reduced risk of postnatal depression.",1,0.7874476909637451,0.7364012593341729,-0.05104643162957223
42,Can patient coaching reduce racial/ethnic disparities in cancer pain control?,"Minority patients with cancer experience worse control of their pain than do their white counterparts. This disparity may, in part, reflect more miscommunication between minority patients and their physicians. Therefore, we examined whether patient coaching could reduce disparities in pain control in a secondary analysis of a randomized controlled trial.",1,0.7935123443603516,0.8001172934808818,0.0066049491205302235
43,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,To investigate whether problems in instrumental activities of daily living (IADL) can add to conventionally used clinical measurements in helping to predict a diagnosis of dementia at 1- and 2-year follow-up.,1,0.85404372215271,0.8511643732526851,-0.0028793489000248362
44,Does anastomotic leakage affect functional outcome after rectal resection for cancer?,"Using a patient simulator of a head and thorax that was able to record respiratory rate, tidal volume, peak pressure, and minute volume via a laptop computer, participants were asked to ventilate the simulator during six 1-minute ventilation tests. The first scenario was BVM ventilation with an oropharyngeal airway in place ventilating with both an adult- and pediatric-sized BVM, the second scenario had a supraglottic airway and both bags, and the third scenario had an endotracheal tube and both bags. Participants were enrolled in convenience manner while they were on-duty and the research staff was able to travel to their stations. Prior to enrolling, participants were not given any additional training on ventilation skills.",0,0.7315317392349243,0.647286168571634,-0.0842455706632903
45,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,"Reimbursement based on the total care of a patient during an acute episode of illness is believed to stimulate management and clinicians to reduce quality problems like waiting times and poor coordination of care delivery. Although many studies already show that this kind of case-mix based reimbursement leads to more efficiency, it remains unclear whether care coordination improved as well. This study aims to explore whether case-mix based reimbursement stimulates development of care coordination by the use of care programmes, and a process-oriented way of working.",1,0.7295032739639282,0.7440041671702163,0.014500893206288112
46,Combining process indicators to evaluate quality of care for surgical patients with colorectal cancer: are scores consistent with short-term outcome?,"For individual patients, a high score on the composite measures based on process indicators is not associated with better short-term outcome. However, at the hospital level, a good score on the composite measures based on process indicators was consistent with more favourable risk-adjusted short-term outcome rates.",1,0.8171743750572205,0.7415266589367926,-0.07564771612042787
47,"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?","Cutaneous infections such as impetigo contagiosum (IC), molluscum contagiosum (MC) and herpes virus infection (HI) appear to be associated with atopic dermatitis (AD), but there are no reports of concrete epidemiological evidence.",1,0.8049616813659668,0.752799568226058,-0.05216211313990882
48,Does responsibility affect the public's valuation of health care interventions?,Randomised controlled trial of different methods of feedback.,0,0.7551149725914001,0.6618687420911439,-0.09324623050025627
49,Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumologists' skepticism justified?,"In normal clinical practice, chemotherapy significantly prolongs survival in patients with performance status of less than 2, more time being gained if there is no associated weight loss. We conclude that the reluctance shown by many pneumologists toward using this treatment is not entirely justified.",1,0.8342573642730713,0.6850536931149351,-0.14920367115813615
50,Do socioeconomic differences in mortality persist after retirement?,Socioeconomic differences in mortality persist beyond retirement age and in magnitude increase with age. Social differentials in mortality based on an occupational status measure seem to decrease to a greater degree after retirement than those based on a non-work measure. This suggests that alongside other socioeconomic factors work itself may play an important part in generating social inequalities in health in men of working age.,1,0.6962910890579224,0.6608689849623701,-0.03542210409555224
51,Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?,"Advanced glycation end products (AGEs), formed by non-enzymatic glycation and oxidation (glycoxidation) reactions, have been implicated in the pathogenesis of several diseases, including normoglycemic uremia. AGE research in uremia has focused on the accumulation of carbohydrate-derived adducts generated by the Maillard reaction. Recent studies, however, have demonstrated that one AGE, the glycoxidation product carboxymethyllysine (CML), could be derived not only from carbohydrates but also from oxidation of polyunsaturated fatty acids in vitro, raising the possibility that both carbohydrate and lipid autoxidation might be increased in uremia.",0,0.5681982636451721,0.2527088049092997,-0.3154894587358724
52,Can common carotid intima media thickness serve as an indicator of both cardiovascular phenotype and risk among black Africans?,Mailed survey asking about costs of 23 investigations and 23 therapies relevant to family practice. A random sample of 600 doctors was asked to report their awareness of costs and to estimate costs of the 46 items.,0,0.7484551668167114,0.6261228238397909,-0.12233234297692053
53,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,"Transiliac bone biopsies were obtained after a double tetracycline labeling, and blood samples were collected.",0,0.7747902870178223,0.4700469510441966,-0.3047433359736257
54,Is there a relationship between rheumatoid arthritis and periodontal disease?,"Based on data derived from self-reported health conditions, and not withstanding the limitations of such a study, we conclude that there is good evidence to suggest that individuals with moderate to severe periodontal disease are at higher risk of suffering from rheumatoid arthritis and vice versa.",1,0.8449363112449646,0.7417251816228956,-0.10321112962206902
55,"Marital status, living arrangement and mortality: does the association vary by gender?","Men appear to benefit more from being married than women with respect to mortality in middle age. However, there is some uncertainty about gender differences in mortality risks in older individuals, widowed, divorced and single individuals and about the impact of living arrangements.",1,0.8052246570587158,0.6683711756058146,-0.13685348145290122
56,Does fluoridation reduce the use of dental services among adults?,"Among adults aged 20 to 34 years with private dental insurance, fluoridation reduces oral disease but may or may not reduce use of restorative services, depending on dentists' clinical decisions.",1,0.797387421131134,0.8003832889345441,0.0029958678034101016
57,Could ADMA levels in young adults born preterm predict an early endothelial dysfunction?,"Our findings reveal a significant decrease in ADMA levels of ex-ELBW subjects compared to C, underlining a probable correlation with preterm birth and low birth weight. Taken together, these results may underlie the onset of early circulatory dysfunction predictive of increased cardiovascular risk.",1,0.82993483543396,0.7900900753706395,-0.039844760063320495
58,Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,"Ablation of persistent atrial fibrillation (AF) may require adjunctive methods of substrate modification. Both ablation-targeting complex fractionated atrial electrograms (CFAEs) recorded during AF and fractionated electrograms recorded during sinus rhythm (sinus rhythm fractionation [SRF]) have been described. However, the relationship of CFAEs with SRF is unclear.",1,0.742207407951355,0.6947884067235787,-0.047419001227776314
59,Predicting admission at triage: are nurses better than a simple objective score?,"GAPS, a simple clinical score, is a better predictor of admission than triage nurses, unless the nurse is sure about the outcome, in which case their clinical judgement should be respected.",1,0.8880106210708618,0.821255908768951,-0.06675471230191077
60,Does pain intensity predict a poor opioid response in cancer patients?,"A secondary analysis of one-hundred-sixty-seven patients referred for treatment of cancer-related pain was conducted. Pain intensity at admission was recorded and patients were divided in three categories of pain intensity: mild, moderate and severe. Patients were offered a treatment with opioid dose titration, according to department policy. Data regarding opioid doses and pain intensity were collected after dose titration was completed. Four levels of opioid response were considered: (a) good pain control, with minimal opioid escalation and without relevant adverse effects; (b) good pain control requiring more aggressive opioid escalation, for example doubling the doses in four days; (c) adequate pain control associated with the occurrence of adverse effects; (d) poor pain control with adverse effects.",1,0.7433538436889648,0.8165749778942986,0.07322113420533372
61,Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,"Between January 1995 and March 2001, 43 consecutive patients underwent operations for acute aortic dissection. In all patients the distal repair was performed under circulatory arrest without the use of an aortic cross-clamp. Fifteen patients underwent aortic arch replacement with additional reconstruction of supra-aortic vessels in 3 patients. Complete replacement of all dissected tissue could be achieved in 21 patients (group 1). Because of the distal extent of the dissection beyond the aortic arch, replacement of all the dissected tissue was not possible in 22 patients (group 2).",0,0.6472569704055786,0.4997638378061281,-0.14749313259945052
62,Is a mandatory general surgery rotation necessary in the surgical clerkship?,Changes in the spectrum of general surgery and the delivery of surgical care have placed the requirement for a mandatory general surgery rotation in the surgical clerkship in question.,1,0.8570229411125183,0.7918435089815028,-0.06517943213101551
63,The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,"The Dutch Surgical Colorectal Audit database, the Netherlands.",0,0.785514235496521,0.6760618021959115,-0.1094524333006095
64,Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,"Cytokeratin 7/20 staining has been reported to be helpful in diagnosing Barrett's oesophagus and gastric intestinal metaplasia. However, this is still a matter of some controversy.",1,0.8519487380981445,0.8138778519399528,-0.038070886158191763
65,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,"A slightly elevated risk [Mantel-Haenszel odds ratio (MH-OR) 1.2, 95% confidence interval (95% CI) 0.82-1.8] was found for diabetes mellitus among the glassworks employees, especially in combination with cardiovascular disease (MH-OR 1.4, 95% CI 0.81-2.3). For the glassblowers, other foundry workers and unspecified glassworkers probably exposed to arsenic, the M-H odds ratio was 1.4 (95% CI 0.92-2.2). Unspecified glass workers, who probably included persons with high exposure, carried the higher risk (MH-OR 1.8, 95% CI 1.1-2.8).",0,0.6662914156913757,0.7645428055987671,0.09825138990739135
66,Type II supracondylar humerus fractures: can some be treated nonoperatively?,"The range of injury severity that can be seen within the category of type II supracondylar humerus fractures (SCHFs) raises the question whether some could be treated nonoperatively. However, the clinical difficulty in using this approach lies in determining which type II SCHFs can be managed successfully without a surgical intervention.",1,0.8580740094184875,0.8796360773450767,0.0215620679265891
67,Cardiogenic shock complicating acute myocardial infarction in elderly patients: does admission to a tertiary center improve survival?,"The role of early revascularization among patients with acute myocardial infarction complicated by cardiogenic shock remains controversial. Angioplasty registries, while suggesting a benefit, are subject to selection bias, and clinical trials have been underpowered to detect early benefits. If an invasive strategy is beneficial in this population, patients admitted to hospitals with onsite coronary revascularization might be expected to have a better prognosis. We sought to determine whether access to cardiovascular resources at the admitting hospital influenced the prognosis of patients with acute myocardial infarction complicated by cardiogenic shock.",1,0.6906113624572754,0.7178130874265094,0.02720172496923401
68,Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,"Low albumin concentrations are associated with poorer survival in patients with gastric cancer. However, the strength of this relation with survival is dependent on the presence of a systemic inflammatory response, as evidenced by an elevated CRP level. Therefore, it appears that the relation between hypoalbuminemia and poor survival is secondary to that of the systemic inflammatory response.",1,0.8269639015197754,0.7030076912079654,-0.12395621031181003
69,Is there any relationship between streptococcal infection and multiple sclerosis?,"Multiple sclerosis (MS) is an immune-mediated inflammatory demyelinating disease of uncertain etiology. Although the mechanisms of inducting autoimmunity by some of the infectious agents have been investigated, there is not yet enough research on streptococcal infections.MATERIAL/",1,0.8071086406707764,0.8664212904204072,0.0593126497496308
70,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,"(1) To examine the effects of managed care on the likelihood of low-income persons having a usual source of care and a usual physician, and; (2) To examine the association between usual source of care and access.",0,0.7389061450958252,0.469444737668549,-0.2694614074272762
71,Does a well developed collateral circulation predispose to restenosis after percutaneous coronary intervention?,A well developed collateral circulation does not predict an increased risk of restenosis after PCI.,1,0.8776559829711914,0.7804753727443794,-0.09718061022681201
72,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,"(1) To examine the effects of managed care on the likelihood of low-income persons having a usual source of care and a usual physician, and; (2) To examine the association between usual source of care and access.",0,0.7835067510604858,0.7164361446797342,-0.06707060638075169
73,Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?,"We analysed data from the EURODIAB Prospective Complications Study, a European multicentre prospective cohort study. Standardized 3-day dietary records were employed in individuals with type 1 diabetes. One thousand one hundred and two patients (553 men, 549 women, baseline age 33 ± 10 years, duration 15 ± 9 years) had complete nutritional data available at baseline and after 7 years. We calculated mean differences in reported nutrients over time and adjusted these for age, gender, HbA1c and BMI with ANOVA models.",0,0.7689105272293091,0.4407715676229942,-0.3281389596063149
74,Do oblique views add value in the diagnosis of spondylolysis in adolescents?,"Anteroposterior, lateral, and right and left oblique lumbar spine radiographs are often a standard part of the evaluation of children who are clinically suspected of having spondylolysis. Recent concerns regarding radiation exposure and costs have brought the value of oblique radiographs into question. The purpose of the present study was to determine the diagnostic value of oblique views in the diagnosis of spondylolysis.",1,0.728024959564209,0.7126293056848505,-0.015395653879358484
