idx,question,context,true_label,baseline_sim,trained_sim,improvement
10,Does positron emission tomography change management in primary rectal cancer?,The influence of positron emission tomography in the management of recurrent rectal cancer is well established but its role in primary rectal cancer remains uncertain. This study therefore prospectively assesses the impact of position emission tomography scanning on the management of primary rectal cancer.,1,0.8342666625976562,0.7124721347645817,-0.12179452783307454
11,Is endothelin-1 an aggravating factor in the development of acute pancreatitis?,"We have reported previously that cerulein-induced edematous pancreatitis would transform into hemorrhagic pancreatitis by administration of endothelin-1 in rats. In the present study, we tried to protect rat model from developing into hemorrhagic pancreatitis with BQ123 (an ETA receptor antagonist).",1,0.7293052077293396,0.7171021358356664,-0.0122030718936732
12,"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?","All patients over the age of fifty-five years presenting with fractures of the trochanteric region caused by a low-energy injury, classified as AO/OTA Type 31-A1 and A2.",0,0.7887648344039917,0.6004117395171215,-0.18835309488687024
13,Cholestasis associated with small bowel atresia: do we always need to investigate?,"From January 2006 to August 2008, a group of 678 singleton pregnancies who had developed GDM has been selected as a study group among a total of 3966 pregnant women who had undergone first trimester screening for aneuploidies at 11-14 weeks of gestation. A group of 420 single pregnant women with physiological pregnancy were enrolled as control group. Both fetal structural and karyotype's anomalies were excluded in the two groups. NT was mesured by a Fetal Medicine Foundation certificated operator; GDM was diagnosed at 24-28 weeks of gestation following Carpenter and Coustan criteria. In the analyses of continuos variables, study and control group were compared by Student's t-test and Anova test.",0,0.6350995898246765,0.5048429884987099,-0.13025660132596661
14,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",Suicide rates for 26 countries were obtained from the WHO. Data on social expenditure were obtained from the OECD database. Employment rates and GDP were obtained from the Total Economy Database. Questions about citizens' attitudes towards different aspects of social exclusion were taken from the European Social Survey. Structural equation modelling was applied to research the theoretical structure of the variables.,0,0.6988234519958496,0.44634767357824523,-0.2524757784176044
15,Does early migraine treatment shorten time to headache peak and reduce its severity?,We conducted a reliability study in a cohort with patient records including both outpatient and inpatient care as the objects of measurement. We developed a structured implicit review instrument to assess the quality of care over one year of treatment. 12 reviewers conducted a total of 496 reviews of 70 patient records selected from 26 VA clinical sites in two regions of the country. Each patient had between one and four conditions specified as having a highly developed evidence base (diabetes and hypertension) or a less developed evidence base (chronic obstructive pulmonary disease or a collection of acute conditions). Multilevel analysis that accounts for the nested and cross-classified structure of the data was used to estimate the signal and noise components of the measurement of quality and the reliability of implicit review.,0,0.6919523477554321,0.6848635012761803,-0.007088846479251787
16,Is inhaled prophylactic heparin useful for prevention and Management of Pneumonia in ventilated ICU patients?,"LA or locally recurrent (LR) GIST treated with NA IM from May 2008 to March 2015 from a prospective database were included in the analysis. Archived formalin-fixed paraffin-embedded tissues (FFPE) were used for testing KIT exons 9, 11, 13 and 17 by PCR.",0,0.6764137148857117,0.5223689190070302,-0.15404479587868147
17,Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?,"An additional delayed phase through the abdomen in routine contrast-enhanced CT examinations of the abdomen and pelvis is of low yield, particularly if reliable follow-up imaging to further elucidate uncertain findings is available.",1,0.8128007054328918,0.6959171238649702,-0.11688358156792167
18,Is coeliac disease screening in risk groups justified?,"The benefits of serologic screening for coeliac disease in asymptomatic individuals are debatable.AIM: To investigate dietary compliance, quality of life and bone mineral density after long-term treatment in coeliac disease patients found by screening in risk groups.",1,0.7408885359764099,0.6072941955446106,-0.1335943404317993
19,Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,"A 9-month randomized prospective study was conducted on 99 patients (N = 55 in the intervention group and N = 44 in the control group) who were incontinent of urine, stool, or both, or had a fecal diversion device or urinary catheter for more than 2 days.",0,0.6633415222167969,0.7119693618250158,0.048627839608218926
20,Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,This study aimed to evaluate the utility of risk stratification of gynecologic oncology patients with neutropenic fever (NF).,1,0.865225613117218,0.8378092776630081,-0.02741633545420996
21,Are interstitial fluid concentrations of meropenem equivalent to plasma concentrations in critically ill patients receiving continuous renal replacement therapy?,"This is the first known report of concurrent plasma and ISF concentrations of a meropenem antibiotic during CVVHDF. We observed that the ISF concentrations of meropenem were significantly lower than the plasma concentrations, although the present dose was appropriate for infections caused by intermediately susceptible pathogens (MIC≤4 mg/L).",1,0.7642347812652588,0.6344024659914136,-0.1298323152738452
22,The secular growth acceleration: does it appear during fetal life?,"Adherence to Department of Health guidelines for vaccine storage, temperature range to which vaccines were exposed over two weeks.",0,0.6778627038002014,0.4449610692802879,-0.23290163451991353
23,Are high flow nasal cannulae noisier than bubble CPAP for preterm infants?,"Noise exposure in the neonatal intensive care unit is believed to be a risk factor for hearing loss in preterm neonates. Continuous positive airway pressure (CPAP) devices exceed recommended noise levels. High flow nasal cannulae (HFNC) are an increasingly popular alternative to CPAP for treating preterm infants, but there are no in vivo studies assessing noise production by HFNC.",1,0.7639171481132507,0.6304351231964729,-0.13348202491677785
24,Are women who are treated for hypothyroidism at risk for pregnancy complications?,The purpose of this study was to investigate the outcomes that are associated with pregnancy and treated hypothyroidism.,1,0.7960206270217896,0.8319194832320872,0.03589885621029765
25,Can Ambu self-inflating bag and Neopuff infant resuscitator provide adequate and safe manual inflations for infants up to 10 kg weight?,"To examine whether government-funded, low-income vision care programs improve use of eye care services by low-income individuals in Canada.",0,0.7712745666503906,0.5545984232066439,-0.21667614344374675
26,Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?,"Expander deflation immediately prior to radiotherapy, may augment the adverse effects, especially in the lower expander pole, possibly via enhanced radiosensitization due to a relative increase in the blood flow and tissue oxygenation.",1,0.8254722952842712,0.6639896343339318,-0.16148266095033947
27,Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,"Sources of reports about laparoscopic and percutaneous treatment of liver hydatid cysts are limited to just a few countries. To address the reason behind this, we carried out a survey of 30 surgeons in northern Jordan.",1,0.7823511362075806,0.8173237944143703,0.03497265820678974
28,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,There was no significative difference (p = 0.585) between NT values in the study (mean = 1.56) and control group (mean = 1.54).,0,0.7505719661712646,0.532425499629824,-0.21814646654144065
29,Recurrent spontaneous abortion and skewed X-inactivation: is there an association?,Skewed X-inactivation is not associated with recurrent spontaneous abortion but is associated with increasing maternal age.,1,0.8150061964988708,0.7470046037629066,-0.06800159273596429
30,Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,"Delayed diagnosis of an ARM appears to be common, occurring in approximately 32% of patients referred to our institution over the last 2.5 years. Current guidelines appear insufficient to ensure prompt diagnosis of ARM.",1,0.8392259478569031,0.579589694226863,-0.25963625363004006
31,Do we need imaging to diagnose appendicitis in children?,"Children with recurrent protracted bacterial bronchitis (PBB) and bronchiectasis share common features, and PBB is likely a forerunner to bronchiectasis. Both diseases are associated with neutrophilic inflammation and frequent isolation of potentially pathogenic microorganisms, including nontypeable Haemophilus influenzae (NTHi), from the lower airway. Defective alveolar macrophage phagocytosis of apoptotic bronchial epithelial cells (efferocytosis), as found in other chronic lung diseases, may also contribute to tissue damage and neutrophil persistence. Thus, in children with bronchiectasis or PBB and in control subjects, we quantified the phagocytosis of airway apoptotic cells and NTHi by alveolar macrophages and related the phagocytic capacity to clinical and airway inflammation.",0,0.6579983234405518,0.5651215438011536,-0.09287677963939811
32,Does ossification of the posterior longitudinal ligament affect the neurological outcome after traumatic cervical cord injury?,"Diabetes mellitus (DM) is undiagnosed in approximately half of the patients actually suffering from the disease. In addition, the prevalence of DM is more than twice as high as in patients with periodontitis when compared to periodontally healthy subjects. Thus, a high number of patients with periodontitis may have undiagnosed DM. The purpose of the present study was to evaluate whether blood oozing from a gingival crevice during routine periodontal examination can be used for determining glucose levels.",0,0.7211214303970337,0.37156514150978226,-0.34955628888725143
33,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,"The use of prophylactic nasogastric (NG) decompression in elective colonic resections was documented for the 2 consecutive months of October and November, 2004 at the Royal Alexandra Hospital (RAH). A one page summary of recent evidence concerning this practice was then mailed to all general surgeons at that institution. A similar second review was carried out for the months of January and February, 2005. The two periods were compared with regards to prophylactic NG use.",0,0.6859269738197327,0.5838092084233104,-0.10211776539642226
34,Is discordance in TEOAE and AABR outcomes predictable in newborns?,"Current guidelines recommend total thyroidectomy for nearly all children with well-differentiated thyroid cancer (WDTC). These guidelines, however, derive from older data accrued prior to current high-resolution imaging. We speculate that there is a subpopulation of children who may be adequately treated with lobectomy.",0,0.6623682975769043,0.4769367571667061,-0.18543154041019821
35,Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,"To validate a clinical diagnostic tool, used by emergency physicians (EPs), to diagnose the central cause of patients presenting with vertigo, and to determine interrater reliability of this tool.",1,0.8492100238800049,0.8684308594768413,0.019220835596836405
36,Can Ambu self-inflating bag and Neopuff infant resuscitator provide adequate and safe manual inflations for infants up to 10 kg weight?,"Sources of reports about laparoscopic and percutaneous treatment of liver hydatid cysts are limited to just a few countries. To address the reason behind this, we carried out a survey of 30 surgeons in northern Jordan.",0,0.792632520198822,0.5244725954656588,-0.2681599247331632
37,Can APC mutation analysis contribute to therapeutic decisions in familial adenomatous polyposis?,"In familial adenomatous polyposis (FAP), correlations between site of mutation in the adenomatous polyposis coli (APC) gene and severity of colonic polyposis or extracolonic manifestations are well known. While mutation analysis is important for predictive diagnosis in persons at risk, its relevance for clinical management of individual patients is open to question.",1,0.7888805866241455,0.7206359789720432,-0.06824460765210227
38,Do risk factors for suicidal behavior differ by affective disorder polarity?,The rat model was made by 5-hour restraint water-immersion stress and two intraperitoneal injections of cerulein (40 micrograms/kg) at hourly interval. BQ123 (3 or 6 mg/kg) was administered intravenously 30 minutes before and 2 hours after the first cerulein injection.,0,0.6828349828720093,0.47791035320256114,-0.20492462966944813
39,Is endothelin-1 an aggravating factor in the development of acute pancreatitis?,"These results suggest that endothelin-1 should play a role in aggravating the development of acute hemorrhagic pancreatitis, through its action on the pancreatic microcirculation.",1,0.8379861116409302,0.7946513593378264,-0.043334752303103796
40,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"Programmed cell death (PCD) is the regulated death of cells within an organism. The lace plant (Aponogeton madagascariensis) produces perforations in its leaves through PCD. The leaves of the plant consist of a latticework of longitudinal and transverse veins enclosing areoles. PCD occurs in the cells at the center of these areoles and progresses outwards, stopping approximately five cells from the vasculature. The role of mitochondria during PCD has been recognized in animals; however, it has been less studied during PCD in plants.",1,0.6943139433860779,0.6802904847099436,-0.014023458676134304
41,Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,"Retrospective chart review of all ELBW (<1,000 g) infants admitted to a level III NICU from January 2003 to December 2003. Data collected included demographic details and simultaneous EtCO(2) (mainstream capnography) and arterial blood gas values (pH, PaCO(2), PaO(2)).",0,0.7276856899261475,0.6175774699760038,-0.11010821995014364
42,Outcomes of severely injured adult trauma patients in an Australian health service: does trauma center level make a difference?,"Overall, individuals with OSA had increased VO2max when compared to the normalized US Air Force data (p<.001). Patients with an apnea-hypopnea index of greater than 20 demonstrated a decreased VO2max as compared to normalized values (p<.001). No differences in VO2max were observed after either medical or surgical therapy for OSA.",0,0.7531887292861938,0.5457817917437293,-0.20740693754246453
43,Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,"To assess the results of transsphenoidal pituitary surgery in patients with Cushing's disease over a period of 18 years, and to determine if there are factors which will predict the outcome.",0,0.7469495534896851,0.6330394512316255,-0.11391010225805953
44,Therapeutic anticoagulation in the trauma patient: is it safe?,"Trauma patients have a significant complication rate related to anticoagulation therapy, and predicting which patients will develop a complication remains unclear. Prospective studies are needed to determine which treatment regimen, if any, is appropriate to safely anticoagulate this high risk population.",1,0.8381641507148743,0.6629174013073718,-0.1752467494075025
45,Does obstructive sleep apnea affect aerobic fitness?,"Overall, in a US Air Force population, OSA does not predict a decrease in aerobic fitness as measured by cycle ergometry. However, patients with an apnea-hypopnea index of greater than 20 have a statistically significant decrease in aerobic fitness compared to the normal population. This study demonstrates the effects of OSA on aerobic fitness. Further correlation of fitness testing results with OSA severity and treatment is needed.",1,0.7507800459861755,0.6007416498460595,-0.15003839614011605
46,Storage of vaccines in the community: weak link in the cold chain?,"Vaccines were exposed to temperatures that may reduce their potency. Safe storage of vaccines in the clinics cannot be ensured without adhering to the recommended guidelines. Provision of adequate equipment and training for staff in maintaining the ""cold chain"" and the use and care of equipment are important components of a successful immunisation programme.",1,0.7809467315673828,0.7558732775267978,-0.02507345404058503
47,Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,"A convenience sample of adult patients presenting to a single academic ED with isolated vertigo (i.e. vertigo without other neurological deficits) was prospectively evaluated with STANDING (SponTAneousNystagmus, Direction, head Impulse test, standiNG) by five trained EPs. The first step focused on the presence of spontaneous nystagmus, the second on the direction of nystagmus, the third on head impulse test and the fourth on gait. The local standard practice, senior audiologist evaluation corroborated by neuroimaging when deemed appropriate, was considered the reference standard. Sensitivity and specificity of STANDING were calculated. On the first 30 patients, inter-observer agreement among EPs was also assessed.",0,0.8001609444618225,0.6234298073404971,-0.17673113712132538
48,Is crime associated with over-the-counter pharmacy syringe sales?,"This was a retrospective cohort study of all women who received prenatal care and were delivered at the University of California, San Francisco, between 1989 and 2001. All patients with hypothyroidism diagnosed before pregnancy or early in pregnancy were identified. Maternal, fetal, and obstetric outcomes were then collected and analyzed for women with hypothyroidism and compared with women without hypothyroidism.",0,0.7179933786392212,0.6019280573114356,-0.11606532132778558
49,Some aspects of social exclusion: do they influence suicide mortality?,The dermatitis score in the intervention group on discharge was significantly less (7.1%; P ≤ 0.001) in the moderate IAD group than in the control group (10.9%). The dermatitis score means and P values of each group were compared using a paired t test.,0,0.7428677082061768,0.6117881295073004,-0.13107957869887632
50,Are sugars-free medicines more erosive than sugars-containing medicines?,"The reduced use of sugars-containing (SC) liquid medicines has increased the use of other dose forms, potentially resulting in more widespread dental effects, including tooth wear. The aim of this study was to assess the erosive potential of 97 paediatric medicines in vitro.",1,0.7758640646934509,0.6626809864407264,-0.11318307825272456
51,Does peritoneal dialysis affect halitosis in patients with end-stage renal disease?,"There are various causes of halitosis, one of which is chronic renal failure. The objective of this study was to investigate halitosis levels in end-stage renal disease (ESRD) patients before and after peritoneal dialysis (PD) therapy.",1,0.8242485523223877,0.8505918205626416,0.026343268240253903
52,Does early migraine treatment shorten time to headache peak and reduce its severity?,Prospective computer-generated randomization of 206 patients into two study groups: those treated by sliding compression hip screw (Group 1; n = 106) and those treated by intramedullary nailing (Group 2; n = 100).,0,0.7539972066879272,0.6700455908899433,-0.08395161579798394
53,Multidisciplinary breast cancer clinics. Do they work?,"Between January 2005 and December 2013, 152 patients with pure aortic stenosis, aged at least 75 years, underwent AVR, with a 19 or 21 mm prosthetic heart valve. PPM was defined as an indexed effective orifice area less than 0.85 cm/m. Median age was 82 years (range 75-93 years). Mean follow-up was 56 months (range 1-82 months) and was 98% complete. Late survival rate, New York Heart Association functional class, and QoL (RAND SF-36) were assessed.",0,0.7026104927062988,0.5985298200280659,-0.10408067267823295
54,Can APC mutation analysis contribute to therapeutic decisions in familial adenomatous polyposis?,Sixty-nine sequential patients treated surgically by a single surgeon in Newcastle upon Tyne between 1980 and 1997 were identified and data from 61 of these have been analysed.,0,0.7739458680152893,0.6449886201666344,-0.12895724784865492
55,Storage of vaccines in the community: weak link in the cold chain?,"Participants with major affective disorders in the National Institute of Mental Health (NIMH) Collaborative Depression Study (CDS) were followed prospectively for up to 25 years. A total of 909 participants meeting prospective diagnostic criteria for major depressive and bipolar disorders were followed through 4204 mood cycles. Suicidal behavior was defined as suicide attempts or completions. Mixed-effects, grouped-time survival analysis assessed risk of suicidal behavior and differential effects of risk factors for suicidal behavior by polarity. In addition to polarity, the main effects of age, gender, hopelessness, married status, prior suicide attempts and active substance abuse were modeled, with mood cycle as the unit of analysis.",0,0.6250100135803223,0.5687435957039831,-0.056266417876339125
56,"Are there associations of health status, disease activity and damage in SLE patients?","Electronic databases were searched for trials that randomized ST-segment-elevation myocardial infarction patients to aspiration thrombectomy before PCI versus conventional PCI. Summary estimates were constructed using a DerSimonian-Laird model. Seventeen trials with 20 960 patients were available for analysis. When compared with conventional PCI, aspiration thrombectomy was not associated with a significant reduction in the risk of mortality 2.8% versus 3.2% (risk ratio [RR], 0.89; 95% confidence interval [CI], 0.76-1.04; P=0.13), reinfarction 1.3% versus 1.4% (RR, 0.93; 95% CI, 0.73-1.17; P=0.52), the combined outcome of mortality or reinfarction 4.1% versus 4.6% (RR, 0.90; 95% CI, 0.79-1.02; P=0.11), or stent thrombosis 0.9% versus 1.2% (RR, 0.82; 95% CI, 0.62-1.08; P=0.15). Aspiration thrombectomy was associated with a nonsignificant increase in the risk of stroke 0.6% versus 0.4% (RR, 1.45; 95% CI, 0.96-2.21; P=0.08). Meta-regression analysis did not identify a difference for the log RR of mortality, reinfarction, and the combined outcome of mortality or reinfarction with intravenous glycoprotein IIb/IIIa inhibitors (P=0.17, 0.70, and 0.50, respectively) or with ischemic time (P=0.29, 0.66, and 0.58, respectively).",0,0.5648338794708252,0.5631996695812622,-0.0016342098895629764
57,Outcomes of severely injured adult trauma patients in an Australian health service: does trauma center level make a difference?,"Voluntary asphyxiation among children, preteens, and adolescents by hanging or other means of inducing hypoxia/anoxia to enhance sexual excitement is not uncommon and can lead to unintended death. This study addresses autoerotic asphyxiation (AEA) with the intent of increasing pediatricians' knowledge of the syndrome and awareness of its typical onset among young patients. AEA is characteristically a clandestine and elusive practice. Provided with relevant information, pediatricians can identify the syndrome, demonstrate a willingness to discuss concerns about it, ameliorate distress, and possibly prevent a tragedy.",0,0.6971947550773621,0.43924584980187487,-0.2579489052754872
58,Can gingival crevicular blood be relied upon for assessment of blood glucose level?,The data from this study has shown that GCB collected during diagnostic periodontal examination can be an excellent source of blood for glucometric analysis.,1,0.8467273712158203,0.6412077660539685,-0.20551960516185186
59,Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,It is anatomically possible that some pelvic structures sustain iatrogenic injury during acetabular drilling for anchor placement. Being aware of mean pelvic vault is important in which drilling after excessive pincer rim trimming could easily decrease the depth of acetabular bone without a standard. Careful drilling by using stopped drill bit is crucial to prevent iatrogenic injury.,1,0.7171643972396851,0.5883347181878936,-0.12882967905179143
60,Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,"The validity of quality of care measurement has important implications for practicing clinicians, their patients, and all involved with health care delivery. We used empirical data from managed care patients enrolled in west coast physician organizations to test the hypothesis that observed changes in health-related quality of life across a 2.5-year window reflecting process of care.DATA SOURCES/",1,0.852873682975769,0.8372121613090525,-0.015661521666716527
61,Do we need imaging to diagnose appendicitis in children?,"A 9-month randomized prospective study was conducted on 99 patients (N = 55 in the intervention group and N = 44 in the control group) who were incontinent of urine, stool, or both, or had a fecal diversion device or urinary catheter for more than 2 days.",0,0.651531457901001,0.7519272763400071,0.10039581843900613
62,Profiling quality of care: Is there a role for peer review?,"For conditions with a well-developed quality of care evidence base, such as hypertension and diabetes, a single structured implicit review to assess the quality of care over a period of time is moderately reliable. This method could be a reasonable complement or alternative to explicit indicator approaches for assessing and comparing quality of care. Structured implicit review, like explicit quality measures, must be used more cautiously for illnesses for which the evidence base is less well developed, such as COPD and acute, short-course illnesses.",1,0.695041835308075,0.6654454428441974,-0.029596392463877574
63,Is there a first night effect on sleep bruxism?,"The results showed no overall first night effect on severity of RMMA frequency in young and healthy patients with SB. In clinical practice, one-night sleep recording may be sufficient for moderate-high frequency SB patients. However, low RMMA frequency in the first night could be confirmed by a second night based on the patient's medical and dental history.",1,0.7143763303756714,0.6807839019579682,-0.03359242841770316
64,Are women who are treated for hypothyroidism at risk for pregnancy complications?,"Compared with patients without hypothyroidism, patients with treated hypothyroidism are not at any increased risk for perinatal morbidity.",1,0.7846804261207581,0.7357793331629923,-0.04890109295776579
65,Is there a first night effect on sleep bruxism?,"Electronic databases were searched for trials that randomized ST-segment-elevation myocardial infarction patients to aspiration thrombectomy before PCI versus conventional PCI. Summary estimates were constructed using a DerSimonian-Laird model. Seventeen trials with 20 960 patients were available for analysis. When compared with conventional PCI, aspiration thrombectomy was not associated with a significant reduction in the risk of mortality 2.8% versus 3.2% (risk ratio [RR], 0.89; 95% confidence interval [CI], 0.76-1.04; P=0.13), reinfarction 1.3% versus 1.4% (RR, 0.93; 95% CI, 0.73-1.17; P=0.52), the combined outcome of mortality or reinfarction 4.1% versus 4.6% (RR, 0.90; 95% CI, 0.79-1.02; P=0.11), or stent thrombosis 0.9% versus 1.2% (RR, 0.82; 95% CI, 0.62-1.08; P=0.15). Aspiration thrombectomy was associated with a nonsignificant increase in the risk of stroke 0.6% versus 0.4% (RR, 1.45; 95% CI, 0.96-2.21; P=0.08). Meta-regression analysis did not identify a difference for the log RR of mortality, reinfarction, and the combined outcome of mortality or reinfarction with intravenous glycoprotein IIb/IIIa inhibitors (P=0.17, 0.70, and 0.50, respectively) or with ischemic time (P=0.29, 0.66, and 0.58, respectively).",0,0.43194442987442017,0.6056069720117006,0.17366254213728038
66,Profiling quality of care: Is there a role for peer review?,We sought to develop a more reliable structured implicit chart review instrument for use in assessing the quality of care for chronic disease and to examine if ratings are more reliable for conditions in which the evidence base for practice is more developed.,1,0.8302149772644043,0.778826275177764,-0.05138870208664026
67,Is vancomycin MIC creep a worldwide phenomenon?,We were unable to find in our institution data compatible to the presence of vancomycin MIC creep during the study period. This phenomenon seems not to be generalized; as a result each institution should systematically monitor MRSA vancomycin MIC over time.,1,0.7582883238792419,0.7830852840995384,0.024796960220296427
68,Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,"Better healing, shorter AT, and equal strength were achieved with ethyl-2-cyanoacrylate compared with polyglactin 910 sutures in intestinal anastomosis in the experimental setting.",1,0.7740956544876099,0.7927964839619014,0.018700829474291525
69,Can Ambu self-inflating bag and Neopuff infant resuscitator provide adequate and safe manual inflations for infants up to 10 kg weight?,The Ambu SIB was able to accurately deliver targeted pressures across all three models from preterm to infant. The Neopuff infant resuscitator was unable to deliver the targeted pressures in the infant model developing clinically significant levels of inadvertent PEEP which may pose risk during infant resuscitation.,1,0.8437871932983398,0.7664544729985551,-0.07733272029978477
70,Does the leukocyte count correlate with the severity of injury?,"Treatment with a sliding compression hip screw (Dynamic Hip Screw; Synthes-Stratec, Oberdorf, Switzerland) or an intramedullary nail (Proximal Femoral Nail; Synthes-Stratec, Oberdorf, Switzerland).",0,0.7475056648254395,0.6550881181898138,-0.09241754663562562
71,High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,To study whether HFNC are noisier than bubble CPAP (BCPAP) for preterm infants.,0,0.7898344993591309,0.5951547722653067,-0.1946797270938242
72,Long-term significance of postictal psychotic episodes II. Are they predictive of interictal psychotic episodes?,"Participants were given 15 min to perform a bowel repair using bovine intestines with standardized injuries. Operative assistants were assigned to help assist with the repair. Before the procedure, participants were asked to rate their expected skills decay, task difficulty, and confidence in addressing the small bowel injury. Interactions were coded to identify the number of instructions given by the participants to the assistant during the repair. Statistical analyses assessed the relationship between the number of directional instructions and participants' perceptions self-efficacy measures. Directional instructions were defined as any dialog by the participant who guided the assistant to perform an action.",0,0.7525880336761475,0.585817148799963,-0.1667708848761844
73,Histologic evaluation of the testicular remnant associated with the vanishing testes syndrome: is surgical management necessary?,"A hospital orthodontic department (Chesterfield Royal Hospital, UK).",0,0.7977168560028076,0.755915271942657,-0.041801584060150665
74,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,"Clinical trials that reported the correlation coefficient or area under the receiver operating characteristic curve (AUC) between the central venous pressure and change in cardiac performance following an intervention that altered cardiac preload. From 191 articles screened, 43 studies met our inclusion criteria and were included for data extraction. The studies included human adult subjects, and included healthy controls (n = 1) and ICU (n = 22) and operating room (n = 20) patients.",0,0.7923934459686279,0.6691903795219347,-0.12320306644669321
